LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
61,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup9,movej,rpmanipulate,,True,10736.74
62,MoveToLL,MoveToLL_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,planned,finallocstick7,,True,15888.27
63,MoveToLL,MoveToLL_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,movej,rpmanipulate,,True,8639.78
64,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup10,movej,rppickup,,True,10740.50
65,MoveToLL,MoveToLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,initlocstick8,,True,5198.68
66,CloseGripperLL,CloseGripperLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,close_gripper,,,True,13.52
67,MoveToLL,MoveToLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,rppickup,,True,5933.80
68,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup10,movej,rpmanipulate,,True,10832.64
69,MoveToLL,MoveToLL_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick4_stick3_gripper1_layer1_layer2,planned,finallocstick8,,True,17499.43
70,MoveToLL,MoveToLL_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick4_stick3_gripper1_layer1_layer2,movej,rpmanipulate,,True,11472.30
71,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup11,movej,rppickup,,True,10758.99
72,MoveToLL,MoveToLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,movel,initlocstick6,,True,5421.31
73,CloseGripperLL,CloseGripperLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,close_gripper,,,True,0.74
74,MoveToLL,MoveToLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,movel,rppickup,,True,5921.00
75,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup11,movej,rpmanipulate,,True,10809.37
76,MoveToLL,MoveToLL_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,planned,finallocstick6,,True,18274.49
77,MoveToLL,MoveToLL_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,movej,rpmanipulate,,True,12157.34
78,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange,movej,rptoolchange,,True,9052.45
79,DeequipToolLL,DeequipToolLL_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange,play_program,,,True,20739.10
80,EquipToolLL,EquipToolLL_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler,play_program,,,True,10309.99
81,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rpmanipulate,movej,rpmanipulate,,True,9715.68
82,NailingLL,NailingLL_NailingML_stick6_stick1_robot1_staplergun1_rpmanipulate,planned,unknown,,True,27901.81
83,NailingLL,NailingLL_NailingML_stick6_stick2_robot1_staplergun1_rpmanipulate,planned,unknown,,True,9037.80
84,NailingLL,NailingLL_NailingML_stick7_stick2_robot1_staplergun1_rpmanipulate,planned,unknown,,True,10696.40
85,NailingLL,NailingLL_NailingML_stick7_stick3_robot1_staplergun1_rpmanipulate,planned,unknown,,True,14609.64
86,NailingLL,NailingLL_NailingML_stick8_stick3_robot1_staplergun1_rpmanipulate,planned,unknown,,True,9976.31
87,NailingLL,NailingLL_NailingML_stick8_stick4_robot1_staplergun1_rpmanipulate,planned,unknown,,True,7476.71
88,NailingLL,NailingLL_NailingML_stick9_stick4_robot1_staplergun1_rpmanipulate,planned,unknown,,True,8283.37
89,NailingLL,NailingLL_NailingML_stick9_stick5_robot1_staplergun1_rpmanipulate,planned,unknown,,True,6740.29
90,NailingLL,NailingLL_NailingML_cube1_stick1_robot1_staplergun1_rpmanipulate,planned,unknown,,True,15404.99
91,NailingLL,NailingLL_NailingML_cube2_stick5_robot1_staplergun1_rpmanipulate,planned,unknown,,True,11385.84
92,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup2,movej,rptoolchange,,True,11034.66
93,DeequipToolLL,DeequipToolLL_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange,play_program,,,True,7381.65
94,EquipToolLL,EquipToolLL_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper,play_program,,,True,20332.80
95,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rppickup,movej,rppickup,,True,11970.59
96,MoveToLL,MoveToLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,movel,initlocstick11,,True,5155.00
97,CloseGripperLL,CloseGripperLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,close_gripper,,,True,12.67
