CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
1114,False,,2026-05-29 19:38:47.108,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick73_robot1_finallocstick73_rpmanipulate_cube15_stick69_gripper1_layer16_layer17,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7190.06,15.31,30,2.831,9265.15,11.57,0.00,11.57,,
1115,False,,2026-05-29 19:38:58.582,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup81,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11435.62,32.38,50,4.859,13604.09,2208.00,0.00,2208.00,,
1116,False,,2026-05-29 19:39:12.240,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick74_initlocstick74_robot1_gripper1_rppickup,plannedl,initlocstick74,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3870.81,17.04,16,1.421,5968.55,54.21,0.00,54.21,,
1117,False,,2026-05-29 19:39:18.238,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick74_initlocstick74_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1816.45,0.00,0,0.000,3861.44,29.22,0.00,29.22,,
1118,False,,2026-05-29 19:39:22.142,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick74_initlocstick74_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3831.19,35.51,16,1.401,6006.19,43.13,0.00,43.13,,
1119,False,,2026-05-29 19:39:30.418,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup90,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11019.82,150.65,51,4.916,13499.85,2269.64,0.00,2269.64,,
1120,False,,2026-05-29 19:39:43.978,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick74_robot1_finallocstick74_rpmanipulate_stick69_stick70_gripper1_layer16_layer17,plannedj,finallocstick74,,1.00,1.00,"0.272570;0.695984;0.270000;0.000000;-3.141590;0.000000","",True,7103.28,44.22,29,2.777,9401.14,60.62,0.00,60.62,,
1121,False,,2026-05-29 19:39:53.411,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick74_robot1_finallocstick74_rpmanipulate_stick69_stick70_gripper1_layer16_layer17,open_gripper,,,0.50,1.00,"","",True,2077.86,0.00,0,0.000,4138.10,31.89,0.00,31.89,,
1122,False,,2026-05-29 19:39:57.580,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick74_robot1_finallocstick74_rpmanipulate_stick69_stick70_gripper1_layer16_layer17,lift,,,0.50,1.00,"","",True,3714.43,0.00,0,0.000,5750.73,30.60,0.00,30.60,,
1123,False,,2026-05-29 19:40:03.360,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick74_robot1_finallocstick74_rpmanipulate_stick69_stick70_gripper1_layer16_layer17,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7035.68,16.78,29,2.774,9126.79,29.56,0.00,29.56,,
1124,False,,2026-05-29 19:40:14.984,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup82,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11006.80,117.45,50,4.859,13438.83,2496.23,0.00,2496.23,,
1125,False,,2026-05-29 19:40:28.490,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick76_initlocstick76_robot1_gripper1_rppickup,plannedl,initlocstick76,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4562.93,49.44,16,1.421,6700.08,67.98,0.00,67.98,,
1126,False,,2026-05-29 19:40:35.222,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick76_initlocstick76_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1743.76,0.00,0,0.000,3797.54,31.76,0.00,31.76,,
1127,False,,2026-05-29 19:40:39.050,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick76_initlocstick76_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3846.95,33.18,16,1.400,6001.27,30.74,0.00,30.74,,
1128,False,,2026-05-29 19:40:47.646,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup91,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11039.37,15.69,51,4.916,13122.57,2594.22,0.00,2594.22,,
1129,False,,2026-05-29 19:41:00.831,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick76_robot1_finallocstick76_rpmanipulate_stick72_stick71_gripper1_layer16_layer17,plannedj,finallocstick76,,1.00,1.00,"-0.055430;0.933357;0.270000;0.000000;-3.141590;0.000000","",True,6235.42,12.55,24,2.268,8341.84,62.57,0.00,62.57,,
1130,False,,2026-05-29 19:41:09.205,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick76_robot1_finallocstick76_rpmanipulate_stick72_stick71_gripper1_layer16_layer17,open_gripper,,,0.50,1.00,"","",True,1610.20,0.00,0,0.000,3646.41,32.32,0.00,32.32,,
1131,False,,2026-05-29 19:41:12.872,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick76_robot1_finallocstick76_rpmanipulate_stick72_stick71_gripper1_layer16_layer17,lift,,,0.50,1.00,"","",True,3731.77,0.00,0,0.000,5810.68,20.54,0.00,20.54,,
1132,False,,2026-05-29 19:41:18.702,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick76_robot1_finallocstick76_rpmanipulate_stick72_stick71_gripper1_layer16_layer17,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5836.91,51.30,24,2.265,8062.38,19.02,0.00,19.02,,
1133,False,,2026-05-29 19:41:29.157,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup83,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10918.11,16.11,50,4.860,13016.73,2393.00,0.00,2393.00,,
1134,False,,2026-05-29 19:41:42.244,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube16_initloccube16_robot1_gripper1_rppickup,plannedl,initloccube16,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3886.36,15.01,16,1.421,6069.76,69.54,0.00,69.54,,
1135,False,,2026-05-29 19:41:48.335,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube16_initloccube16_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1709.24,0.00,0,0.000,3765.03,21.97,0.00,21.97,,
1136,False,,2026-05-29 19:41:52.128,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube16_initloccube16_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3897.55,15.86,16,1.400,5984.15,27.87,0.00,27.87,,
1137,False,,2026-05-29 19:42:00.522,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup92,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11291.32,17.82,51,4.916,13361.62,2409.41,0.00,2409.41,,
1138,False,,2026-05-29 19:42:13.947,MoveToLL,MoveToLL_moveToStackPos_StackML_cube16_stick73_robot1_gripper1_finalloccube16_rpmanipulate,plannedj,finalloccube16,,1.00,1.00,"0.318858;0.917064;0.288500;0.000000;-3.141590;0.000000","",True,7236.01,14.18,29,2.798,9352.14,63.77,0.00,63.77,,
1139,False,,2026-05-29 19:42:23.334,OpenGripperLL,OpenGripperLL_openGripper_StackML_cube16_stick73_robot1_gripper1_finalloccube16_rpmanipulate,open_gripper,,,0.50,1.00,"","",True,2077.01,0.00,0,0.000,4120.57,34.94,0.00,34.94,,
1140,False,,2026-05-29 19:42:27.488,LiftLL,LiftLL_liftAfterStack_StackML_cube16_stick73_robot1_gripper1_finalloccube16_rpmanipulate,lift,,,0.50,1.00,"","",True,3697.88,0.00,0,0.000,5728.85,33.38,0.00,33.38,,
1141,False,,2026-05-29 19:42:33.251,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube16_stick73_robot1_gripper1_finalloccube16_rpmanipulate,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6929.07,64.46,29,2.794,9184.71,33.83,0.00,33.83,,
1142,False,,2026-05-29 19:42:45.141,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup84,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11087.13,18.88,50,4.859,13190.55,2705.16,0.00,2705.16,,
1143,False,,2026-05-29 19:42:58.400,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick75_initlocstick75_robot1_gripper1_rppickup,plannedl,initlocstick75,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4613.01,14.27,16,1.421,6782.79,69.09,0.00,69.09,,
1144,False,,2026-05-29 19:43:05.217,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick75_initlocstick75_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1678.48,0.00,0,0.000,3718.08,34.12,0.00,34.12,,
1145,False,,2026-05-29 19:43:08.968,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick75_initlocstick75_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3945.86,14.78,16,1.400,6032.56,32.96,0.00,32.96,,
1146,False,,2026-05-29 19:43:17.622,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup93,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11733.73,19.79,51,4.916,13840.19,2621.55,0.00,2621.55,,
1147,False,,2026-05-29 19:43:31.528,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick75_robot1_finallocstick75_rpmanipulate_stick70_stick71_gripper1_layer16_layer17,plannedj,finallocstick75,,1.00,1.00,"0.047677;0.739699;0.270000;0.000000;-3.141590;0.000000","",True,6297.05,125.19,25,2.365,8575.15,65.00,0.00,65.00,,
1148,False,,2026-05-29 19:43:40.150,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick75_robot1_finallocstick75_rpmanipulate_stick70_stick71_gripper1_layer16_layer17,open_gripper,,,0.50,1.00,"","",True,2104.55,0.00,0,0.000,4123.59,47.34,0.00,47.34,,
1149,False,,2026-05-29 19:43:44.316,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick75_robot1_finallocstick75_rpmanipulate_stick70_stick71_gripper1_layer16_layer17,lift,,,0.50,1.00,"","",True,3706.61,0.00,0,0.000,5747.54,42.00,0.00,42.00,,
1150,False,,2026-05-29 19:43:50.082,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick75_robot1_finallocstick75_rpmanipulate_stick70_stick71_gripper1_layer16_layer17,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6225.32,18.36,25,2.362,8326.21,18.72,0.00,18.72,,
1151,False,,2026-05-29 19:44:00.939,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup85,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11305.03,21.95,50,4.860,13402.66,2530.92,0.00,2530.92,,
1152,False,,2026-05-29 19:44:14.404,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick77_initlocstick77_robot1_gripper1_rppickup,plannedl,initlocstick77,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3880.69,15.01,16,1.421,5953.82,62.78,0.00,62.78,,
1153,False,,2026-05-29 19:44:20.395,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick77_initlocstick77_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1689.69,0.00,0,0.000,3803.33,36.73,0.00,36.73,,
1154,False,,2026-05-29 19:44:24.231,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick77_initlocstick77_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3900.38,15.41,16,1.400,5999.88,32.25,0.00,32.25,,
1155,False,,2026-05-29 19:44:32.890,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup94,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11078.02,33.77,51,4.916,13183.51,2659.20,0.00,2659.20,,
1156,False,,2026-05-29 19:44:46.136,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick77_robot1_finallocstick77_rpmanipulate_stick73_stick74_gripper1_layer17_layer18,plannedj,finallocstick77,,1.00,1.00,"0.339829;0.793846;0.288500;0.000000;-3.141590;0.000000","",True,7448.72,16.02,30,2.861,9611.42,62.49,0.00,62.49,,
1157,False,,2026-05-29 19:44:55.766,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick77_robot1_finallocstick77_rpmanipulate_stick73_stick74_gripper1_layer17_layer18,open_gripper,,,0.50,1.00,"","",True,1855.73,0.00,0,0.000,3883.66,19.18,0.00,19.18,,
1158,False,,2026-05-29 19:44:59.679,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick77_robot1_finallocstick77_rpmanipulate_stick73_stick74_gripper1_layer17_layer18,lift,,,0.50,1.00,"","",True,3716.96,0.00,0,0.000,5741.40,29.29,0.00,29.29,,
1159,False,,2026-05-29 19:45:05.471,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick77_robot1_finallocstick77_rpmanipulate_stick73_stick74_gripper1_layer17_layer18,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7401.05,25.17,30,2.858,9601.24,50.05,0.00,50.05,,
1160,False,,2026-05-29 19:45:17.623,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup86,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11479.24,14.84,50,4.860,13576.18,2551.24,0.00,2551.24,,
1161,False,,2026-05-29 19:45:31.256,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick78_initlocstick78_robot1_gripper1_rppickup,plannedl,initlocstick78,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3884.66,14.99,16,1.421,5971.99,56.83,0.00,56.83,,
1162,False,,2026-05-29 19:45:37.258,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick78_initlocstick78_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1756.43,0.00,0,0.000,3817.54,29.75,0.00,29.75,,
1163,False,,2026-05-29 19:45:41.093,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick78_initlocstick78_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3920.25,15.11,16,1.400,6013.46,18.04,0.00,18.04,,
1164,False,,2026-05-29 19:45:49.777,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup95,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11722.58,16.41,51,4.916,13820.54,2669.85,0.00,2669.85,,
1165,False,,2026-05-29 19:46:03.656,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick78_robot1_finallocstick78_rpmanipulate_stick74_stick75_gripper1_layer17_layer18,plannedj,finallocstick78,,1.00,1.00,"0.145539;0.672440;0.287500;0.000000;-3.141590;0.000000","",True,6329.02,109.61,27,2.536,8975.05,58.46,0.00,58.46,,
1166,False,,2026-05-29 19:46:12.661,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick78_robot1_finallocstick78_rpmanipulate_stick74_stick75_gripper1_layer17_layer18,open_gripper,,,0.50,1.00,"","",True,1736.62,0.00,0,0.000,3783.28,29.86,0.00,29.86,,
1167,False,,2026-05-29 19:46:16.478,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick78_robot1_finallocstick78_rpmanipulate_stick74_stick75_gripper1_layer17_layer18,lift,,,0.50,1.00,"","",True,3659.29,0.00,0,0.000,5724.80,33.89,0.00,33.89,,
1168,False,,2026-05-29 19:46:22.230,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick78_robot1_finallocstick78_rpmanipulate_stick74_stick75_gripper1_layer17_layer18,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6166.45,189.98,27,2.532,8745.59,27.47,0.00,27.47,,
1169,False,,2026-05-29 19:46:33.518,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup87,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10901.14,23.66,50,4.859,13031.38,2542.05,0.00,2542.05,,
1170,False,,2026-05-29 19:46:46.610,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick79_initlocstick79_robot1_gripper1_rppickup,plannedl,initlocstick79,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3921.78,17.64,16,1.421,6008.64,61.06,0.00,61.06,,
1171,False,,2026-05-29 19:46:52.648,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick79_initlocstick79_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1760.99,0.00,0,0.000,3803.39,29.10,0.00,29.10,,
1172,False,,2026-05-29 19:46:56.474,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick79_initlocstick79_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3889.77,14.01,16,1.400,5975.38,22.78,0.00,22.78,,
1173,False,,2026-05-29 19:47:05.114,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup96,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11054.56,16.00,51,4.916,13139.47,2664.23,0.00,2664.23,,
1174,False,,2026-05-29 19:47:18.315,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick79_robot1_finallocstick79_rpmanipulate_stick76_stick75_gripper1_layer17_layer18,plannedj,finallocstick79,,1.00,1.00,"0.011829;0.835495;0.287500;0.000000;-3.141590;0.000000","",True,6365.51,15.03,25,2.335,8447.77,61.74,0.00,61.74,,
1175,False,,2026-05-29 19:47:26.788,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick79_robot1_finallocstick79_rpmanipulate_stick76_stick75_gripper1_layer17_layer18,open_gripper,,,0.50,1.00,"","",True,2222.87,0.00,0,0.000,4262.25,25.76,0.00,25.76,,
1176,False,,2026-05-29 19:47:31.077,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick79_robot1_finallocstick79_rpmanipulate_stick76_stick75_gripper1_layer17_layer18,lift,,,0.50,1.00,"","",True,3692.62,0.00,0,0.000,5748.51,25.89,0.00,25.89,,
1177,False,,2026-05-29 19:47:36.850,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick79_robot1_finallocstick79_rpmanipulate_stick76_stick75_gripper1_layer17_layer18,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6166.86,16.09,25,2.331,8245.27,24.65,0.00,24.65,,
1178,False,,2026-05-29 19:47:47.467,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup21,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,5504.24,17.43,21,1.927,7609.96,2372.00,0.00,2372.00,,
1179,False,,2026-05-29 19:47:55.118,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup11,play_program,,gripper,0.50,1.00,"","",True,21618.76,0.00,0,0.000,23693.61,41.44,0.00,41.44,,
1180,False,,2026-05-29 19:48:18.872,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup11,play_program,,nailgun,0.50,1.00,"","",True,10424.93,0.00,0,0.000,12446.84,60.28,0.00,60.28,,
1181,False,,2026-05-29 19:48:33.804,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup11,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5299.45,44.38,21,1.941,10116.18,2485.13,0.00,2485.13,,
1182,False,,2026-05-29 19:48:44.048,NailingLL,NailingLL_moveToNailPos_NailingML_cube16_stick73_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.318858;0.917064;0.308550;2.221441;-2.221441;0.000000","",True,9371.24,0.00,0,0.000,11401.74,127.07,0.00,127.07,,
1183,False,,2026-05-29 19:48:55.479,PushDownLL,PushDownLL_pushDown_NailingML_cube16_stick73_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1848.85,0.00,0,0.000,3883.70,29.91,0.00,29.91,,
1184,False,,2026-05-29 19:48:59.397,LiftLL,LiftLL_liftAfterNail_NailingML_cube16_stick73_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4011.49,0.00,0,0.000,6068.19,33.89,0.00,33.89,,
1185,False,,2026-05-29 19:49:07.871,NailingLL,NailingLL_moveToNailPos_NailingML_stick77_stick73_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.355675;0.862481;0.308575;2.221441;-2.221441;0.000000","",True,5305.85,0.00,0,0.000,7340.56,2406.17,0.00,2406.17,,
1186,False,,2026-05-29 19:49:15.244,PushDownLL,PushDownLL_pushDown_NailingML_stick77_stick73_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1245.58,0.00,0,0.000,3293.30,32.25,0.00,32.25,,
1187,False,,2026-05-29 19:49:18.563,LiftLL,LiftLL_liftAfterNail_NailingML_stick77_stick73_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4074.35,0.00,0,0.000,6109.88,26.09,0.00,26.09,,
1188,False,,2026-05-29 19:49:27.097,NailingLL,NailingLL_moveToNailPos_NailingML_stick77_stick74_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.331903;0.727250;0.308050;2.221441;-2.221441;0.000000","",True,6230.53,0.00,0,0.000,8267.04,2423.64,0.00,2423.64,,
1189,False,,2026-05-29 19:49:35.386,PushDownLL,PushDownLL_pushDown_NailingML_stick77_stick74_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1840.39,0.00,0,0.000,3872.61,22.30,0.00,22.30,,
1190,False,,2026-05-29 19:49:39.285,LiftLL,LiftLL_liftAfterNail_NailingML_stick77_stick74_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4063.82,0.00,0,0.000,6123.65,26.49,0.00,26.49,,
1191,False,,2026-05-29 19:49:47.868,NailingLL,NailingLL_moveToNailPos_NailingML_stick78_stick74_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.214173;0.656595;0.307575;2.221441;-2.221441;0.000000","",True,5668.77,0.00,0,0.000,7699.19,2458.74,0.00,2458.74,,
1192,False,,2026-05-29 19:49:55.595,PushDownLL,PushDownLL_pushDown_NailingML_stick78_stick74_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1513.95,0.00,0,0.000,3600.06,28.26,0.00,28.26,,
1193,False,,2026-05-29 19:49:59.219,LiftLL,LiftLL_liftAfterNail_NailingML_stick78_stick74_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4070.76,0.00,0,0.000,6121.60,24.12,0.00,24.12,,
1194,False,,2026-05-29 19:50:07.690,NailingLL,NailingLL_moveToNailPos_NailingML_stick78_stick75_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.083361;0.686795;0.307550;2.221441;-2.221441;0.000000","",True,4964.65,0.00,0,0.000,7022.17,2349.48,0.00,2349.48,,
1195,False,,2026-05-29 19:50:14.744,PushDownLL,PushDownLL_pushDown_NailingML_stick78_stick75_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1627.37,0.00,0,0.000,3679.03,31.37,0.00,31.37,,
